dataset,dimension,degradation_level,repetition,miner,input_file,model_name,events_before,events_after,dropped_events,cases_before,cases_after,activities_before,activities_after,fitness,precision,generalization,simplicity,average_score,places,transitions,visible_transitions,hidden_transitions,unique_visible_transition_labels,duplicate_visible_transition_labels,arcs,pnml_path,visualization_path,pnml_saved,visualization_saved,visualization_error,pnml_error,status,error
bpi2019_1000,completeness,20,4,inductive,data\degraded\completeness\completeness_20_r4.csv,bpi2019_1000_completeness_20_r4_inductive,5412,5412,0,997,997,30,30,,0.4187097527079068,0.7223005976950497,0.596244131455399,0.6843136204645889,48,79,30,49,30,0,170,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r4_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r4_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,20,5,alpha,data\degraded\completeness\completeness_20_r5.csv,bpi2019_1000_completeness_20_r5_alpha,5413,5413,0,994,994,30,30,,0.7783694687460379,0.64232610272542,0.3949579831932773,0.527263387423365,17,30,30,0,30,0,83,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r5_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r5_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,20,5,heuristics,data\degraded\completeness\completeness_20_r5.csv,bpi2019_1000_completeness_20_r5_heuristics,5413,5413,0,994,994,30,30,,0.8207040470733126,0.5313970046403746,0.4773869346733668,0.6719932294712568,67,123,30,93,30,0,294,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r5_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r5_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,20,5,inductive,data\degraded\completeness\completeness_20_r5.csv,bpi2019_1000_completeness_20_r5_inductive,5413,5413,0,994,994,30,30,,0.4159637326813366,0.7296785928048884,0.6193353474320241,0.6912444182295623,82,123,30,93,30,0,268,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_20_r5_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_20_r5_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,30,1,alpha,data\degraded\completeness\completeness_30_r1.csv,bpi2019_1000_completeness_30_r1_alpha,4744,4744,0,991,991,30,30,,0.7346778791334094,0.64928607351818,0.3372093023255814,0.4965123165684333,28,30,30,0,30,0,115,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r1_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r1_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,30,1,heuristics,data\degraded\completeness\completeness_30_r1.csv,bpi2019_1000_completeness_30_r1_heuristics,4744,4744,0,991,991,30,30,,0.8445832135080729,0.530173443606608,0.4481236203090508,0.6656803688455922,70,133,30,103,30,0,328,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r1_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r1_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,30,1,inductive,data\degraded\completeness\completeness_30_r1.csv,bpi2019_1000_completeness_30_r1_inductive,4744,4744,0,991,991,30,30,,0.417363077560605,0.7128260922340572,0.5852534562211982,0.6788606565039652,47,80,30,50,30,0,172,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r1_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r1_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,30,2,alpha,data\degraded\completeness\completeness_30_r2.csv,bpi2019_1000_completeness_30_r2_alpha,4740,4740,0,992,992,29,29,,0.8116831367548614,0.6343501116175121,0.3982300884955752,0.5434409848114555,16,29,29,0,29,0,79,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r2_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r2_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,30,2,heuristics,data\degraded\completeness\completeness_30_r2.csv,bpi2019_1000_completeness_30_r2_heuristics,4740,4740,0,992,992,29,29,,0.836760732512759,0.4931609955861724,0.4715261958997722,0.6600607470101022,71,136,29,107,29,0,323,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r2_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r2_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,30,2,inductive,data\degraded\completeness\completeness_30_r2.csv,bpi2019_1000_completeness_30_r2_inductive,4740,4740,0,992,992,29,29,,0.4011537608165076,0.7058364306955738,0.5929203539823008,0.6749776363735955,52,82,29,53,29,0,180,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r2_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r2_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,30,3,alpha,data\degraded\completeness\completeness_30_r3.csv,bpi2019_1000_completeness_30_r3_alpha,4741,4741,0,992,992,30,30,,0.7178541234340174,0.6455422374220584,0.3009708737864078,0.4836966915673306,32,30,30,0,30,0,134,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r3_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r3_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,30,3,heuristics,data\degraded\completeness\completeness_30_r3.csv,bpi2019_1000_completeness_30_r3_heuristics,4741,4741,0,992,992,30,30,,0.8306701563468558,0.4873114212830594,0.4862385321100917,0.6621611542878069,72,140,30,110,30,0,324,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r3_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r3_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,30,3,inductive,data\degraded\completeness\completeness_30_r3.csv,bpi2019_1000_completeness_30_r3_inductive,4741,4741,0,992,992,30,30,,0.3949267932575975,0.7532335548354767,0.6099071207430341,0.689516867209027,78,119,30,89,30,0,260,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r3_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r3_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,30,4,alpha,data\degraded\completeness\completeness_30_r4.csv,bpi2019_1000_completeness_30_r4_alpha,4738,4738,0,991,991,29,29,,0.7222778652167692,0.6704813399335176,0.3731343283582089,0.5187823770466014,21,29,29,0,29,0,92,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r4_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r4_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,30,4,heuristics,data\degraded\completeness\completeness_30_r4.csv,bpi2019_1000_completeness_30_r4_heuristics,4738,4738,0,991,991,29,29,,0.8374062120132456,0.4982243853085715,0.4753363228699552,0.6620640226161592,74,138,29,109,29,0,329,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r4_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r4_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,30,4,inductive,data\degraded\completeness\completeness_30_r4.csv,bpi2019_1000_completeness_30_r4_inductive,4738,4738,0,991,991,29,29,,0.4066185956505713,0.7093924149947359,0.5899581589958159,0.6764922924102807,52,89,29,60,29,0,190,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r4_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r4_inductive.png,True,True,,,ok,
bpi2019_1000,completeness,30,5,alpha,data\degraded\completeness\completeness_30_r5.csv,bpi2019_1000_completeness_30_r5_alpha,4740,4740,0,992,992,29,29,,0.893010989010989,0.637829273592467,0.329608938547486,0.5313351989894691,30,29,29,0,29,0,119,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r5_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r5_alpha.png,True,True,,,ok,
bpi2019_1000,completeness,30,5,heuristics,data\degraded\completeness\completeness_30_r5.csv,bpi2019_1000_completeness_30_r5_heuristics,4740,4740,0,992,992,29,29,,0.8283201537210849,0.5251753053310796,0.4731934731934731,0.6565767596336262,72,131,29,102,29,0,316,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r5_heuristics.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r5_heuristics.png,True,True,,,ok,
bpi2019_1000,completeness,30,5,inductive,data\degraded\completeness\completeness_30_r5.csv,bpi2019_1000_completeness_30_r5_inductive,4740,4740,0,992,992,29,29,,0.3997111829944547,0.7266669511658079,0.6242424242424242,0.6876551396006716,82,124,29,95,29,0,268,experiments\process_discovery\results\models\pnml\bpi2019_1000_completeness_30_r5_inductive.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_completeness_30_r5_inductive.png,True,True,,,ok,
bpi2019_1000,consistency,10,1,alpha,data\degraded\consistency\consistency_10_r1.csv,bpi2019_1000_consistency_10_r1_alpha,6967,6967,0,1000,1000,79,79,,0.2485140801302532,0.573194853349293,1.0,0.5676003048964401,25,79,79,0,79,0,102,experiments\process_discovery\results\models\pnml\bpi2019_1000_consistency_10_r1_alpha.pnml,experiments\process_discovery\results\figures\model_visualizations\bpi2019_1000_consistency_10_r1_alpha.png,True,True,,,ok,
